"Term ID","Term Name","Term Slug",Description,"Parent ID","Parent Name","Parent Slug",Count
418,Wushka,99999999,"Wushka Test School",,,,5753
419,"Ab Paterson College",101690,"10 Ab Paterson Drive Arundel   Qld 4214",,,,174
420,"Abbotsford Primary School",101467,"20 Lithgow Street Abbotsford   Vic 3067",,,,146
422,"Abbotsleigh Junior School",101465,"22 Woonona Avenue Wahroonga   Nsw 2076",,,,520
423,"Abercorn State School",101677,"Lot 71 Wuruma Dam Road Eidsvold   Qld 4627",,,,27
424,"Aberdeen Public School",101672,"35-43 Segenhoe Street Aberdeen   Nsw 2336",,,,205
425,"Aberfeldie Primary School",101678,"1 Doone Street Essendon   Vic 3040",,,,1
426,"Aberfoyle Hub School",101668,"29 Jeanette Crescent Aberfoyle Park   Sa 5159",,,,1
427,"Aberfoyle Park Primary School Campus",101674,"Campus Drive Aberfoyle Park   Sa 5159",,,,1
428,"Abergowrie State School",136821,"5 Venables Road Abergowrie   Qld 4850",,,,1
429,"Abermain Public School",101671,"Goulburn Street Abermain   Nsw 2326",,,,1
430,"Aboriginal &amp; Torres Strait Islander Independent Comm Sch",102685,"Islander Independent Comm Sch 1277 Beaudesert Road Acacia Ridge   Qld 4110",,,,375
431,"Acacia Hill School Council Inc",101699,"Spearwood Road Alice Springs   Nt 0870",,,,158
432,"Acacia Ridge State School",101704,"79 Nyngam Street Acacia Ridge   Qld 4110",,,,1
433,"Adam Road Primary School",101777,"Hotchin Street Bunbury   Wa 6230",,,,1
434,"Adaminaby Public School",101771,"9 Cosgrove Street Adaminaby   Nsw 2630",,,,1
435,"Adamstown Public School",101774,"1a Bryant Street Adamstown   Nsw 2289",,,,1
436,"Adelaide Lithuanian School",139729,,,,,1
437,"Adelaide North Primary School",101789,"60-80 Tynte Street North Adelaide   Sa 5006",,,,1
438,"Adelaide North Special School",109006,"24 Durrington Road Elizabeth   Sa 5112",,,,1
439,"Adelaide River School",101791,"125 Memorial Terrace Adelaide River   Nt 0846",,,,1
440,"Adelaide West Special School",136537,"12-20 Moldavia Walk Taperoo   Sa 5017",,,,1
441,"Adelong Public School",101790,"Gilmore Rd Adelong   Nsw 2729",,,,1
442,"Adrian &amp; Nicole Summers",138284,"8 Boboli Way Pearsall Pearsall   Wa 6065 6065 Phone: 0438 218 592",,,,1
443,"Aeiou Moorooka",134025,"66 Hamilton Road Moorooka Moorooka   Qld 4013 4013 Phone: 07 3802 0621",,,,1
444,"Aetaomah School",140155,"2486 Kyogle Rd Terragon   Nsw 2484",,,,1
445,"Afterlee Public School",140279,"Afterlee Road Kyogle   Nsw 2474",,,,1
446,"Agnes Water State School",101822,"1 Donohue Drive Agnester   Qld 4677",,,,1
447,"Agnew School",132109,"281 Windsor Road Nambour   Qld 4560",,,,1
448,"Agnew School Brisbane Campus",119159,"190 Ingleston Road Wakerley   Qld 4154",,,,1
449,"Agnew School",140337,"40 Gerrard St Toowoomba   Qld 4350",,,,1
450,"Agnew School Maryborough",131642,"Fazio Road St Helens Maryborough   Qld 4650",,,,1
451,"Ainslie Parklands Primary School",107589,"24-36 Hinkley Avenue Croydon   Vic 3136",,,,1
452,"Ainslie Primary School",101851,"33 Donaldson Street Braddon   Act 2612",,,,1
453,"Airdale Primary School",101854,"400-420 Anzac Rd Port Pirie   Sa 5540",,,,1
454,"Airly Primary School",101858,"Airly Estate Road Sale   Vic 3851",,,,1
455,"Airville State School",101861,"920 Old Clare Road Airville   Qld 4807",,,,1
456,"Aitken Creek Primary School",136114,"51-81 Grevillea Street Craigieburn   Vic 3064",,,,1
457,"Aitkenvale State School",101867,"67-87 Wotton Street Aitkenvale   Qld 4814",,,,1
458,"Ajuga Public School",101870,"Quarter Sessions Rd Glenfield   Nsw 2167",,,,8
459,"Al Amanah College",101881,"55 Speed Street Liverpool   Nsw 2170",,,,1
460,"Al Amanah College Inc",101882,"2 Winspear Avenue Bankstown   Nsw 2200",,,,1
461,"Al Faisal College",101988,"149 Auburn Road Auburn   Nsw 2144",,,,1
462,"Al Noori Muslim Primary School",102077,"75 Greenacre Road Greenacre   Nsw 2190",,,,1
463,"Al Sadiq College",102102,"178 Cooper Road Yagoona   Nsw 2199",,,,1
464,"Al Sadiq College",136669,"114 Waterloo Road Greenacre   Nsw 2190",,,,1
465,"Al Siraat College Inc",133811,"45 Harvest Home Road Epping North   Vic 3076",,,,1
466,"Al Zahra College",140244,"3-5 Wollongong Road Arncliffe   Nsw 2205",,,,1
467,"Alawa Primary School",101887,"Pett Street Alawa   Nt 0810",,,,1
468,"Albanvale Primary School",101904,"54-64 Diamond Ave Cnr Dover Street St Albans   Vic 3021",,,,1
469,"Albany Creek State School",101890,"696 Albany Creek Rd Albany Creek   Qld 4035",,,,1
470,"Albany Hills State School",101894,"118-130 Keong Road Albany Creek   Qld 4035",,,,1
471,"Albany Primary School",101905,"32 Suffolk Street Albany   Wa 6330",,,,1
472,"Albany Rise Primary School",101931,"72-82 Albany Drive Mulgrave East   Vic 3170",,,,1
473,"Albert Park Primary School",101929,"Bridport Street Albert Park   Vic 3206",,,,1
474,"Albert Park Public School",101914,"344 Keen Street Lismore   Nsw 2480",,,,1
475,"Albert State School",101915,"210-220 Albert Street Maryborough   Qld 4650",,,,1
476,"Albert Street Primary School Moe",101919,"40 Albert Street Moe   Vic 3825",,,,1
477,"Alberton Primary School",101909,"14 Broad Street Queenstown   Sa 5014",,,,1
478,"Alberton Primary School",101917,"Thomson Street Alberton   Vic 3971",,,,1
479,"Albion North Primary School",101921,"67-73 Furlong Rd Sunshine   Vic 3020",,,,1
480,"Albion Park Public School",140283,"156-158 Tongarra Rd Cnr Hamilton Rd Albion Park   Nsw 2527",,,,
481,"Albion Park Rail Public School",101928,"Gow Avenue Albion Park Rail   Nsw 2527",,,,1
482,"Albion Primary School",101923,"61-81 Adelaide Street Albion   Vic 3020",,,,1
483,"Albuera Street Primary School",101942,"Albuera Street Hobart   Tas 7000",,,,1
484,"Albury North Public School",101940,"868 Mate Street North Albury   Nsw 2640",,,,1
485,"Albury Public School",101941,"481 David Street Albury   Nsw 2640",,,,1
486,"Albury West Public School",101945,"511 Mott Street Albury   Nsw 2640",,,,1
487,"Alcoota Primary School",101952,"Shed 9 66a Smith Street Alice Springs   Nt 0870",,,,1
488,"Aldavilla Primary School",101955,"Sherwood Road Kempsey   Nsw 2440",,,,1
489,"Aldercourt Primary School",101958,"Silver Avenue Frankston North   Vic 3200",,,,1
490,"Aldgate Primary School",101959,"3 Fairview Road Aldgate   Sa 5154",,,,1
491,"Aldinga School",101962,"58 Quinliven Road Aldinga   Sa 5173",,,,1
492,"Alekarenge School",101971,"C/- Barkly Group School Maloney Street Tennant Creek   Nt 0860",,,,1
493,"Alekerange School C/- Barkly Education Stores",141382,,,,,1
494,"Alexander Primary School",101983,"2 Namba Street Cnr Thuddungra Street Duffys Forest   Nsw 2084",,,,51
495,"Alexandra Bay State School",101974,"Cape Tribulation Road Mossman   Qld 4873",,,,1
496,"Alexandra Hills State School",101979,"12 Princeton Avenue Alexandra Hills   Qld 4161",,,,717
497,"Alexandra Primary School",101986,"15 Webster Street Alexandra   Vic 3714",,,,1
498,"Alfords Point Public School",101994,"2c Brushwood Dr &amp; Cnr Coachwood Cres Alfords Point   Nsw 2234",,,,1
499,"Alfredton Primary School",101996,"Cuthberts Road Alfredton   Vic 3350",,,,1
500,"Algester State School",102000,"19 Endiandra Street Algester   Qld 4115",,,,1
501,"Al-hidayah Islamic School",102001,"Cnr Nyamup Way &amp; Hedley Street Bentley   Wa 6102",,,,1
502,"Alice Betteridge School",129046,"361-365 North Rocks Road North Rocks   Nsw 2151",,,,1
503,"Alice Springs School Of The Air",102016,"80 Head Street Alice Springs   Nt 0870",,,,1
504,"Alice Springs Steiner School",102651,"Lot 9523 Radonesi Road Alice Springs   Nt 0870",,,,1
505,"Alinjarra Primary School",102012,"Northumberland Avenue Alexander Heights   Wa 6064",,,,1
506,"All Hallows School",102052,"49 Bayly Street Gulgong   Nsw 2852",,,,1
507,"All Hallows School",102051,"1 Halley Street Five Dock   Nsw 2046",,,,1
508,"All Saints Anglican School",102612,"Highfield Drive Merrimac   Qld 4226",,,,1
509,"All Saints' Catholic Primary School",102069,"44 George Street Liverpool   Nsw 2170",,,,1
510,"All Saints Catholic Girls College",102611,"53 Biggs Street Liverpool   Nsw 2170",,,,1
511,"All Saints Catholic Primary",122623,"621 Grand Boulevarde Seaford   Sa 5169",,,,1
512,"All Saints Catholic School",102652,"Murray Street Tumbarumba   Nsw 2653",,,,13
513,"All Saints College St Mary's Campus",138244,"16 Grant Street Maitland Maitland   Nsw 2320 2320 Phone: 02 4933 6177",,,,1
514,"All Saints College",102546,"70 Eglinton Road Bathurst   Nsw 2795",,,,156
515,"All Saints Grammar Junior School",102067,"3-17 Cecilia Street Cnr Isabel Street Belmore   Nsw 2192",,,,1
516,"All Saints Junior School College",134749,"Ewing Avenue Bullcreek   Wa 6149",,,,1
517,"All Saints Parish School",102536,"4 Faheys Road Albany Creek   Qld 4035",,,,1
518,"All Saints Parish School",102636,"94-100 Fawthrop Street Portland   Vic 3305",,,,1
519,"All Saints School",102068,"15 Oliver Street Boonah   Qld 4310",,,,232
520,"All Souls St Gabriels School",102561,"30 Dr George Ellis Drive Charters Towers   Qld 4820",,,,1
521,"Allambie Heights Public School",102026,"Allambie Road Allambie Heights   Nsw 2100",,,,160
522,"Allansford Primary",102031,"10 Frank Street Allansford   Vic 3277",,,,1
523,"Allanson Primary School",102033,"Cameron Street Allanson   Wa 6225",,,,1
524,"Allenby Gardens Primary School",102036,"Lot 194 Barham Street Allenby Gardens   Sa 5009",,,,1
525,"Allendale East Area School",102035,"Bay Road Allendale East   Sa 5291",,,,1
526,"Allendale Primary School",102066,"52 Wittenoom Street Wonthella   Wa 6530",,,,1
527,"Allenstown State School",102039,"Upper Dawson Road Allenstown   Qld 4700",,,,1
528,"Alligator Creek State School",102057,"50 Grasstree Beach Road Alligator Creek   Qld 4740",,,,232
529,"Allora State School",102064,"17-21 Warwick Street Allora   Qld 4362",,,,1
530,"Alloway State School",102065,"4334 Goodwood Road Bundaberg   Qld 4670",,,,1
531,"Alma Public School",102073,"29 Comstock Street Broken Hill   Nsw 2880",,,,172
532,"Aloomba Primary School",102084,"Neilsen Street Aloomba   Qld 4871",,,,1
533,"Alpha State School",102094,"11 Milton Street Alpha   Qld 4724",,,,1
534,"Alphington Primary School",102095,"26-38 Yarralea Street Alphington   Vic 3078",,,,1
535,"Alpurrurulam Community School",102101,"Maloney Street Tennant Creek   Qld 0860",,,,1
536,"Alstonville Public School",102106,"58 Main Street Alstonville   Nsw 2477",,,,1
537,"Altona Green Primary School",102119,"240 Victoria Street Altona Meadows   Vic 3028",,,,1
538,"Altona Meadows Primary School",102110,"78-88 Alma Avenue Altona Meadows   Vic 3028",,,,1
539,"Altona North Primary School",102121,"51 Cresser Street Altona North   Vic 3025",,,,1
540,"Altona Primary School",102124,"109 Blyth Street Altona   Vic 3018",,,,1
541,"Alvie Consolidated School",102131,"Wool Wool Road Alvie   Vic 3249",,,,1
542,"Alyangula Area School",102136,"Frances Bay Drive Darwin   Nt 0800",,,,1
543,"Alyarrmandumanja Umbakumba School",125470,"Frances Bay Drive Darwin   Nt 0800",,,,1
544,"Amamoor State School",102140,"2 Elizabeth Street Amamoor   Qld 4570",,,,1
545,"Amanbidji School",102142,"Pmb 16 Katherine   Nt 0852",,,,1
546,"Amaroo Primary School",102151,"Jones Street Collie   Wa 6225",,,,1
547,"Amaroo School",102150,"Cnr Burdekin &amp; Katherine Ave Amaroo   Act 2914",,,,1
548,"Amata Anangu School",102152,"8 George Crescent Alice Springs Nt 0871",,,,1
549,"Ambarvale Public School",102155,"61 Copperfield Drive Ambarvale   Nsw 2560",,,,618
550,"Amberley District State School",102164,"37 Deebing Creek Road Yamanto   Qld 4305",,,,1
551,"Ambrose State School",102169,"39 Gentle Annie Road Ambrose   Qld 4702",,,,1
552,"Amiens State School",102183,"1337 Amiens Road Amiens   Qld 4352",,,,1
553,"Amity College Auburn",136645,"26-28 Kerr Parade Auburn   Nsw 2144",,,,1
554,"Amity College Illawarra",112752,"399 Shellharbour Road Shellharbour   Nsw 2529",,,,1
555,"Amity College Prestons",123859,"163 Kurrajong Road Prestons   Nsw 2170",,,,1
556,"Amoonguna Primary School",102187,"Ross River Road Amoonguna   Nt 0871",,,,1
557,"Amphitheatre Primary School",102191,"Post Office Amphitheatre   Vic 3468",,,,1
558,"Ampilatwatja School",140006,"Shed 9 66a Smith Street Alice Springs   Nt 0872",,,,1
559,"Amsleigh Park Primary School",102193,"19 State Street East Oakleigh   Vic 3166",,,,1
560,"Anakie Primary School",102200,"Main Road Anakie   Vic 3221",,,,1
561,"Anakie State School",102199,"Cook Street Anakie   Qld 4702",,,,1
562,"Ananda Marga River School",102201,"251 Bridge Creek Road Maleny   Qld 4552",,,,123
563,"Andale School",102208,"84 Charles Street Rear Of 23 Highbury Grove Kew   Vic 3101",,,,1
564,"Andamooka Primary School",129503,"Lot 348 Government Road Andamooka   Sa 5722",,,,24
565,"Andergrove State School",102220,"Lot 393 Fernleigh Ave Mount Pleasant   Qld 4740",,,,27
566,"Anderson's Creek Primary Sch",102216,"36-38 Drysdale Road Warrandyte   Vic 3113",,,,335
567,"Andrews Creek Primary School",126388,"Westwind Drive Wesley Vale   Tas 7307",,,,1
568,"Angaston Primary School",102253,"5 Moculta Road Angaston   Sa 5353",,,,1
569,"Angle Vale Primary School",102278,"Lot 3 Heaslip Road Angle Vale   Sa 5117",,,,1
570,"Anglesea Primary School",102276,"22-28 Camp Road Anglesea   Vic 3230",,,,1
571,"Anglican Church Grammar Prep School",102260,"Oaklands Parade East Brisbane   Qld 4169",,,,1
572,"Anna Bay Public School",102294,"191 Gan Gan Road Anna Bay   Nsw 2316",,,,374
573,"Annandale Christian College",101749,"Jonquil Crescent Annandale   Qld 4814",,,,1
574,"Annandale North Public School",102302,"206 Johnston Street Annandale   Nsw 2038",,,,1
575,"Annandale Public School",102300,"25 Johnston Street Annandale   Nsw 2038",,,,1
576,"Annandale State School",102303,"105-109 Yolanda Drive Cnr Oleander Street Annandale   Qld 4814",,,,1
577,"Annangrove Public School",102301,"185 Annangrove Road Annangrove   Nsw 2156",,,,1
578,"Anne Sheilds Reading For Sure Reading For Sure",102314,"4 Montague Pass Meadow Springs Meadow Springs   Wa 6210 6210 Phone: 08 6143 8208",,,,1
579,"Annesley College Jnr School",135903,"Rose Terrace Wayville   Sa 5034",,,,1
580,"Annunciation School",124286,"Brooklyn   Vic 3025",,,,1
581,"Anson Street School",102337,"94 Anson Street Orange   Nsw 2800",,,,1
582,"Antonine College Coburg",102369,"132 A Nicholson Street Cnr Harding Street Coburg East   Vic 3058",,,,1
583,"Antonio Catholic School",102361,"8 Bains Road Morphett Vale   Sa 5162",,,,2
584,"Antonio Park Primary School",102362,"631-639 Whitehorse Road Mitcham   Vic 3132",,,,1
585,"Anula Primary School",102373,"Yanyula Drive Anula   Nt 0812",,,,1
586,"Anzac Terrace Primary School",102380,"176 Anzac Tce Bassendean   Wa 6054",,,,1
587,"Apollo Bay P-12 College",102391,"Pengilley Ave Apollo Bay   Vic 3233",,,,1
588,"Apollo Parkways Primary School",102394,"Brentwick Drive Greensborough   Vic 3088",,,,1
589,"Appin Park Primary School",102401,"Appin Street Wangaratta   Vic 3677",,,,1
590,"Appin Public School",102399,"97 Appin Road Appin   Nsw 2560",,,,1
591,"Applecross Primary School",102410,"65 Kintail Road Applecross   Wa 6153",,,,1
592,"Applethorpe State School",102409,"25576 New England Highway Applethorpe   Qld 4378",,,,1
593,"Apsley Primary School",102413,"Laidlaw Street Apsley   Vic 3319",,,,1
594,"Aquinas College",140818,"58 Mt Henry Road Salter Point   Wa 6152",,,,1
595,"Araluen Christian School",102006,"10 Blain Street Alice Springs   Nt 0870",,,,1
596,"Araluen Primary School",102425,"71-99 Patten Street Sale   Vic 3850",,,,1
597,"Aramac State School",102426,"67 Porter St Aramac   Qld 4726",,,,1
598,"Aranda Primary School",102430,"1 Banambila Street Aranda   Act 2614",,,,1
599,"Aranmore Catholic Primary School",102432,"20 Brentham Street Leederville   Wa 6007",,,,1
600,"Ararat North Primary School",102435,"Blake Street Ararat   Vic 3377",,,,81
601,"Ararat Primary School",102437,"Moore Street Ararat   Vic 3377",,,,1
602,"Ararat West Primary School",102439,"Kneebone St Ararat   Vic 3377",,,,1
603,"Aratula State School",102440,"41 Elizabeth Street Aratula   Qld 4309",,,,1
604,"Arawang Primary School",102441,"69 Nemarang Crescent Waramanga   Act 2611",,,,1
605,"Arbor Grove Primary School",102443,"Brookmount Drive Ellenbrook   Wa 6069",,,,1
